Alabama Crimson Tide,5,Collin Sexton\collin-sexton-1,2,FR,G,6-3,190,Mableton GA,Pebblebrook High School,19.2,3.8,3.6
Alabama Crimson Tide,5,John Petty\john-petty-2,23,FR,G,6-5,195,Huntsville AL,J.O. Johnson High School,10.2,2.6,1.8
Alabama Crimson Tide,5,Donta Hall\donta-hall-1,0,JR,F,6-9,224,Luverne AL,Luverne HS,10.6,6.6,0.6
Alabama Crimson Tide,5,Dazon Ingram\dazon-ingram-1,12,SO,G,6-5,205,Theodore AL,Theodore HS,9.7,5.7,2.6
Alabama Crimson Tide,5,Braxton Key\braxton-key-1,25,,F,6-8,220,Charlotte NC,Oak Hill Academy,7,5.3,1.8
Alabama Crimson Tide,5,Avery Johnson\avery-johnson-3,5,JR,G,5-11,182,Houston TX,Plano West,4.3,1.1,0.8
Alabama Crimson Tide,5,Herb Jones\herb-jones-3,10,FR,G,6-7,200,Greensboro AL,Hale County High School,4.2,3.5,1.4
Alabama Crimson Tide,5,Daniel Giddens\daniel-giddens-1,4,SO,F,6-10,228,Mableton GA,Oak Hill Academy,4.2,2.5,0.2
Alabama Crimson Tide,5,Alex Reese\alex-reese-1,3,FR,F,6-9,250,Pelham AL,Pelham High School,4,2.8,0.3
Alabama Crimson Tide,5,Galin Smith\galin-smith-1,30,FR,F,6-9,235,Clinton MS,Clinton High School,2.8,2,0.1
Alabama Crimson Tide,5,Riley Norris\riley-norris-1,1,SR,G,6-7,207,Albertville AL,Albertville HS,4.8,2.4,0.7
Alabama Crimson Tide,5,Lawson Schaffer\lawson-schaffer-1,24,JR,G,5-11,160,Cullman AL,Cullman HS,0.6,0,0.9
Alabama Crimson Tide,5,Landon Fuller\landon-fuller-1,33,SO,F,6-8,230,Brentwood TN,Brentwood Academy,1.5,0,0
Alabama Crimson Tide,5,Tyler Barnes\tyler-barnes-1,,,F,6-8,205,,St. Xavier High School,0,0,0
Alabama Crimson Tide,5,Ar'Mond Davis\armond-davis-1,22,,G,6-6,202,Tacoma WA,Henry Foss High School,,,
Alabama Crimson Tide,5,Tevin Mack\tevin-mack-1,11,,G,6-7,223,Columbia SC,Dreher HS,,,
Arkansas Razorbacks,14,Jaylen Barford\jaylen-barford-1,0,SR,G,6-3,202,Jackson TN,South Side High School,17.9,3.9,2.5
Arkansas Razorbacks,14,Daryl Macon\daryl-macon-1,4,SR,G,6-3,185,Little Rock AR,Parkview Arts and Science Magnet High School,16.8,2.9,3.9
