1,Abilene Christian Wildcats,Abilene,Texas,1971
2,Air Force Falcons,USAF Academy,Colorado,1958
3,Akron Zips,Akron,Ohio,1902
4,Alabama A&M Bulldogs,Normal,Alabama,2000
5,Alabama Crimson Tide,Tuscaloosa,Alabama,1913
6,Alabama State Hornets,Montgomery,Alabama,1983
7,Alabama-Birmingham Blazers,Birmingham,Alabama,1980
8,Albany (NY) Great Danes,Albany,New York,2000
9,Alcorn State Braves,Alcorn,Mississippi,1978
10,American Eagles,Washington D.C.,,1967
11,Appalachian State Mountaineers,Boone,North Carolina,1974
12,Arizona State Sun Devils,Tempe,Arizona,1912
13,Arizona Wildcats,Tucson,Arizona,1905
14,Arkansas Razorbacks,Fayetteville,Arkansas,1924
15,Arkansas State Red Wolves,State University,Arkansas,1971
16,Arkansas-Pine Bluff Golden Lions,Pine Bluff,Arkansas,1999
17,Army Black Knights,West Point,New York,1903
18,Auburn Tigers,Auburn,Alabama,1906
19,Austin Peay Governors,Clarksville,Tennessee,1964
20,Ball State Cardinals,Muncie,Indiana,1972
21,Baylor Bears,Waco,Texas,1907
22,Belmont Bruins,Nashville,Tennessee,2000
23,Bethune-Cookman Wildcats,Daytona Beach,Florida,1981
24,Binghamton Bearcats,Binghamton,New York,2002
25,Boise State Broncos,Boise,Idaho,1972
26,Boston College Eagles,Chestnut Hill,Massachusetts,1946
27,Boston University Terriers,Boston,Massachusetts,1916
28,Bowling Green State Falcons,Bowling Green,Ohio,1916
29,Bradley Braves,Peoria,Illinois,1903
30,Brigham Young Cougars,Provo,Utah,1903
31,Brown Bears,Providence,Rhode Island,1901
32,Bryant Bulldogs,Smithfield,Rhode Island,2011
33,Bucknell Bison,Lewisburg,Pennsylvania,1896
34,Buffalo Bulls,Buffalo,New York,1907
35,Butler Bulldogs,Indianapolis,Indiana,1897
36,Cal Poly Mustangs,San Luis Obispo,California,1995
37,Cal State Bakersfield Roadrunners,Bakersfield,California,2011
38,Cal State Fullerton Titans,Fullerton,California,1975
39,Cal State Northridge Matadors,Northridge,California,1991
40,Campbell Fighting Camels,Buies Creek,North Carolina,1978
41,Canisius Golden Griffins,Buffalo,New York,1904
42,Central Arkansas Bears,Conway,Arkansas,2011
43,Central Connecticut State Blue Devils,New Britain,Connecticut,1987
44,Central Florida Knights,Orlando,Florida,1985
45,Central Michigan Chippewas,Mount Pleasant,Michigan,1974
46,Charleston Southern Buccaneers,Charleston,South Carolina,1975
47,Charlotte 49ers,Charlotte,North Carolina,1973
48,Chattanooga Mocs,Chattanooga,Tennessee,1978
49,Chicago State Cougars,Chicago,Illinois,1985
